product_category
"Каталог все товары|Шлифовальный инструмент|Электроинструмент>Полировальные машины"
"Каталог все товары|Шлифовальный инструмент|Деревообрабатывающий инструмент>Плоскошлифовальные машины"
"Каталог все товары|Шлифовальный инструмент|Деревообрабатывающий инструмент>Плоскошлифовальные машины"
"Каталог все товары|Садово парковый инструмент|Садово парковый инструмент>Измельчители веток"
